domain,Include as News? (Y/N),Coding Notes,score,rounded_n_shares,rounded_n_accts,fb_score,mturk_score,budak_score,allsides_score,allsides_score_community,pew_score,news_fakenews_proj,news_googlenews,news_manual,news_tvnews_data,news_webshrinker,news_ribiero,news_n,news_is_news
cnn.com,Y,,-0.1183,375700,98300,-0.2705,-0.6666666667,-0.0238744884,0,-0.5,-0.222,1,,,,1,1,2,1
buzzfeed.com,Y,,-0.1616,274600,79800,-0.5242,-0.5,,-0.5,-0.5,-0.028,1,,,,1,1,2,1
wordpress.com,N,,0.0898,696000,74000,,,,,,,,,,1,0,1,1,1
wsj.com,Y,,0.0106,305000,64400,0.2754,-0.1666666667,0.05,,,-0.024,1,,,1,0,1,2,1
usatoday.com,y,,0.0582,167000,61800,-0.0635,-0.25,0.007747933884,0,0,-0.078,1,,,,1,1,2,1
forbes.com,y,,0.0465,198700,57200,0.0563,0,,0,0.5,,1,,,,1,1,2,1
twitpic.com,n,Dead site,0.1025,272200,57100,,,,,,,,0,,,1,1,1,1
mashable.com,y,,-0.1223,194600,50900,-0.4106,-0.1666666667,,,,,1,,,,0,1,1,1
businessinsider.com,y,,-0.0373,137800,47000,-0.0585,0,,0,0,,1,,,,0,0,1,1
nbcnews.com,y,,-0.1558,118300,45800,-0.2735,-0.5833333333,-0.003544902093,-0.5,-0.5,-0.212,1,,,,1,1,2,1
bloomberg.com,y,,-0.0792,158700,45400,-0.1565,-0.08333333333,,0,0,-0.054,1,,,,1,0,2,1
politico.com,y,,-0.1914,162700,43900,-0.1334,-0.08333333333,,-0.5,0,-0.07,1,,,,0,1,1,1
cbsnews.com,y,,-0.017,87900,37500,-0.127,-0.08333333333,,,,-0.178,1,,,,1,1,2,1
reuters.com,y,,-0.1287,105400,32400,-0.0945,-0.25,-0.00866851595,0,0,,1,,,,0,1,1,1
change.org,n,,-0.137,93700,29200,,,,,,,0,,,,1,1,1,1
money.cnn.com,y,,-0.0822,61900,28800,-0.2565,0,,,,,1,,,,0,1,1,1
nypost.com,y,,0.1813,73600,26900,0.2497,-0.3333333333,,1,0.5,,1,,,,1,1,2,1
apne.ws,n,link shortening service?,-0.06,87300,25700,,,,,,,,,,,1,1,1,1
techcrunch.com,y,,-0.1058,81400,23700,,,,0,-0.5,,1,,,,1,1,2,1
cnbc.com,y,,0.0811,62800,23300,0.0503,-0.25,,0,-0.5,,1,,,,0,1,1,1
bizjournals.com,y,,0.1077,84600,18600,,,,,,,1,,,,1,1,2,1
inc.com,y,,0.0979,59600,17700,,,,,,,1,,,,1,1,2,1
eonline.com,y,,0.0756,43500,17700,,0,,,,,1,,,,0,1,1,1
thehill.com,y,,-0.06,53100,17600,0.1661,-0.1666666667,,,,,1,,,,1,1,2,1
cbslocal.com,y,,0.1124,45100,17200,,,,,,,,,1,1,1,1,2,1
entrepreneur.com,y,,0.1509,68500,16600,,,,,,,1,,,,0,1,1,1
fortune.com,y,,-0.08,42000,16200,,-0.1666666667,,,,,1,,,,0,1,1,1
abcnews.go.com,y,,-0.0384,22900,14600,-0.1605,0,,-0.5,0,-0.174,1,0,,,1,1,2,1
mtv.com,n,,-0.105,29300,14400,,-0.3333333333,,,,,1,,,,0,1,1,1
hbr.org,y,,-0.0821,50300,14100,,,,,,,1,,,,0,1,1,1
fastcompany.com,y,,-0.1846,36200,13900,,,,,,,1,,,,0,1,1,1
adweek.com,y,,-0.1908,43800,12900,,,,,,,1,,,,0,1,1,1
miamiherald.com,y,,-0.0444,44100,12500,-0.3418,-0.1666666667,,-0.5,-0.5,,1,,,1,1,1,3,1
telegraph.co.uk,y,non US,-0.0634,20200,12400,0.0269,-0.1666666667,,0.5,0.5,,1,,,,1,1,2,1
chicagotribune.com,y,,-0.1587,19500,12200,-0.3117,0,-0.00162469537,0,0,,1,,,,1,1,2,1
aol.com,y,,0.005,42900,11900,0.0133,0,,,,,,1,,,1,1,1,1
news.yahoo.com,y,,0.0848,29600,11800,0.0493,,,,,,,0,,,1,1,1,1
on.natgeo.com,y,,-0.1397,34200,11400,,,,,,,,,,,1,1,1,1
cnet.com,y,,0.0183,32700,11000,,-0.1666666667,,,,,1,,,,1,0,2,1
on.today.com,y,,0.1081,22600,10300,,,,,,,,,,,1,1,1,1
ft.com,y,,-0.1956,30600,9800,,,,,,,1,,,,0,1,1,1
engadget.com,y,,-0.0405,29000,9800,,0,,,,,1,,,,0,1,1,1
finance.yahoo.com,y,,0.1467,23200,9600,0.0777,0,,,,,1,,,,0,1,1,1
thenextweb.com,y,,-0.1059,23400,8700,,,,,,,,1,,,1,0,1,1
people.com,y,,-0.0398,13300,8200,-0.2034,-0.08333333333,,,,,1,,,,0,1,1,1
online.wsj.com,y,,0.0408,16600,7800,0.2764,,,0,0.5,,,0,,,1,1,1,1
philly.com,y,,-0.1823,30300,7500,-0.3668,,,,,,1,,,1,1,1,3,1
weather.com,y,,0.1502,11900,7200,,0,,,,,,1,,,1,1,1,1
today.com,y,,0.0618,11600,7200,-0.1668,-0.1666666667,,-0.5,-0.5,,1,,,,0,1,1,1
azcentral.com,y,,0.1353,38200,7100,-0.1731,,,,,,1,,,1,1,1,3,1
a.msn.com,y,,0.0607,45000,6800,,,,,,,,0,,,1,1,1,1
blogs.wsj.com,y,,-0.064,12900,6800,-0.0746,,,,,,1,,,,0,1,1,1
elitedaily.com,y,,0.0368,11200,6500,-0.2558,-0.08333333333,,,,,,1,,,1,1,1,1
uproxx.com,y,,-0.1959,9600,6300,-0.4468,,,,,,1,,,,0,0,1,1
thoughtcatalog.com,y,,-0.1515,15600,6300,,,,,,,,0,,,1,0,1,1
prnewswire.com,n,,0.0483,10100,6100,,,,,,,1,,,,1,1,2,1
bigstory.ap.org,y,,-0.0986,13300,6000,-0.2022,,,,,,,0,,,1,1,1,1
adage.com,y,,-0.1935,24500,5900,,0,,,,,1,,,,0,1,1,1
nj.com,y,,-0.1036,17800,5900,-0.2969,0,,,,,1,,,1,1,1,3,1
ign.com,n,,0.0061,16000,5800,,,,,,,1,,,,0,1,1,1
observer.com,y,,-0.1827,10600,5700,,,,0,1,,1,,,,1,1,2,1
mediaite.com,y,,0.1359,8700,5600,-0.1326,0.25,,-0.5,0,,1,,,,1,1,2,1
usnews.com,y,,-0.1304,8300,5300,-0.0392,0,,-0.5,0,,1,,,,1,1,2,1
startribune.com,y,,-0.1326,8100,5200,,,,,,,1,,,1,1,1,3,1
venturebeat.com,y,,-0.0788,11800,5100,,,,,,,1,,,,0,0,1,1
sfgate.com,y,,-0.1764,7000,5100,-0.581,,,-0.5,-0.5,,1,,,1,1,1,3,1
ellentube.com,n,,0.0376,6800,5100,,,,,,,1,,,,0,1,1,1
tampabay.com,y,,0.0938,22100,5000,-0.4745,,,,,,1,,,1,1,1,3,1
billboard.com,y,,-0.1904,9100,5000,,0,,,,,1,,,,0,1,1,1
blogs.edweek.org,y,,-0.1218,23600,4900,,,,,,,1,,,,0,1,1,1
popsugar.com,y,,0.0221,10500,4900,,0,,,,,1,,,,0,1,1,1
theweek.com,y,,-0.1771,7300,4800,-0.1809,-0.3333333333,,0,0,,1,,,,1,1,2,1
tmz.com,y,,0.0672,9000,4600,,-0.25,,,,,1,,,,0,1,1,1
blogtalkradio.com,n,,-0.008,40600,4600,,,,,,,,0,,,1,1,1,1
post-gazette.com,y,,-0.0408,20400,4600,,,,0.5,0,,1,,,1,1,1,3,1
zdnet.com,y,,0.1003,11600,4500,,,,,,,1,,,,0,0,1,1
patch.com,y,,0.0187,13100,4500,-0.0102,,,,,,1,,,,1,1,2,1
kansascity.com,y,,0.1377,13200,4400,-0.4023,0,,,,,1,,,1,1,1,3,1
newsobserver.com,y,,-0.1549,15200,4200,,,,,,,1,,,1,0,1,2,1
lifehacker.com,y,,-0.0859,7700,4200,,,,0,-0.5,,1,,,,1,1,2,1
denverpost.com,y,,0.0352,11800,4200,-0.2012,0,,,,,1,,,1,1,1,3,1
orlandosentinel.com,y,,0.1924,14300,4100,,,,,,,1,,,1,1,1,3,1
sciencedaily.com,y,,-0.1444,16500,4000,,,,0,-0.5,,,1,,,1,1,1,1
issuu.com,n,,-0.0242,7300,3900,,,,,,,,,,1,0,1,1,1
courier-journal.com,y,,0.0697,17900,3900,,,,-0.5,-0.5,,,,,1,0,1,1,1
charlotteobserver.com,y,,0.009,12500,3800,,,,,,,1,,,1,1,1,3,1
6abc.com,y,,0.0414,10600,3700,-0.5037,,,,,,1,,,,1,1,2,1
rt.com,y,This is center?,0.1466,7900,3700,-0.1488,0.25,,,,,1,,,,0,0,1,1
edweek.org,y,,-0.1941,11600,3700,,,,,,,1,,,,0,1,1,1
foodandwine.com,y,,-0.0736,9400,3600,,,,,,,1,,,,0,1,1,1
9news.com,y,,0.152,11700,3600,-0.032,0,,,,,1,,,1,1,1,3,1
edition.cnn.com,y,,-0.1564,4600,3600,-0.2615,,,,,,,1,,,1,1,1,1
pagesix.com,y,,-0.0621,8400,3500,,,,,,,1,,,,0,1,1,1
abc7ny.com,y,,-0.1432,8800,3400,,,,,,,1,,,1,1,1,3,1
hotnewhiphop.com,y,,0.0102,10100,3400,,0,,,,,1,,,,0,1,1,1
indystar.com,y,,-0.0714,4600,3400,,-0.1666666667,,,,,1,,,1,1,1,3,1
mcclatchydc.com,y,,-0.1175,5400,3300,,,,,,,1,,,,1,1,2,1
triblive.com,y,,0.1962,10900,3300,,,,,,,1,,,1,1,1,3,1
mirror.co.uk,y,Not u.s. ,0.1505,4300,3300,,-0.08333333333,,,,,,1,,,1,1,1,1
businesswire.com,y,,0.0983,6200,3200,,,,,,,0,,,,1,1,1,1
etonline.com,y,,0.0149,5500,3100,,,,,,,1,,,,0,1,1,1
sun-sentinel.com,y,,0.1319,12200,3100,,0,,,,,1,,,1,1,1,3,1
gma.yahoo.com,y,,0.1235,4800,3100,-0.0472,,,,,,,0,,,1,1,1,1
c-span.org,y,,-0.1794,4200,3100,-0.0442,,,0,0,,1,,,,0,0,1,1
tvline.com,y,,-0.1222,9900,3000,,,,,,,1,,,,0,1,1,1
ww2.kqed.org,y,,-0.1793,6900,3000,,,,,,,1,,,,1,1,2,1
chron.com,y,,-0.1725,3700,3000,,,,,,,,,,1,1,1,2,1
nbcnewyork.com,y,,-0.1795,4900,2900,-0.3704,,,,,,1,,,1,1,1,3,1
buffalonews.com,y,,-0.0199,11100,2900,,,,,,,1,,,1,1,1,3,1
bostonherald.com,y,,0.0754,6600,2900,,,,,,,1,,,1,1,1,3,1
newsday.com,y,,-0.0843,8100,2800,,,,,,,,,,1,1,1,2,1
inquisitr.com,y,This is center? ,0.0363,4800,2800,0.0977,-0.1666666667,,,,,1,,,,1,1,2,1
gallup.com,n,,-0.1041,3700,2700,,,,0,0,,1,,,,0,1,1,1
timesofisrael.com,y,Not u.s. ,0.1806,7800,2700,0.3685,,,,,,1,,,,1,1,2,1
nola.com,y,,0.063,7800,2600,-0.2175,,,,,,1,,,1,1,1,3,1
mercurynews.com,y,,-0.1167,3400,2600,,0,,-0.5,-0.5,,1,,,1,1,1,3,1
detroitnews.com,y,,0.0931,3500,2500,,0.3333333333,,,,,1,,,1,1,1,3,1
tennessean.com,y,,0.1288,3600,2500,,0,,,,,1,,,1,0,1,2,1
money.us,y,,0.056,7200,2500,,,,,,,1,,,,0,1,1,1
cbs.com,y,,-0.0024,3500,2500,,,,-0.5,0,,1,,,,0,1,1,1
courant.com,y,,-0.1115,10200,2400,-0.1968,,,,,,1,,,1,1,1,3,1
us.cnn.com,y,,-0.0077,3500,2400,,,,,,,,0,,,1,1,1,1
wral.com,y,,0.0718,5400,2400,-0.0685,,,,,,1,,,1,1,1,3,1
metro.co.uk,y,Not U.S. ,-0.1239,3000,2400,,-0.25,,,,,,1,,,1,1,1,1
snopes.com,y,,-0.165,3000,2400,,-0.1666666667,,,,,0,,,,1,0,1,1
ajc.com,y,,-0.0813,2900,2300,,0,,-0.5,0,,,,,1,1,1,2,1
digg.com,y,,-0.1212,4900,2300,,,,,,,1,,,,1,0,2,1
kentucky.com,y,,0.0917,13000,2300,,,,,,,1,,,1,1,1,3,1
theringer.com,y,,-0.1677,4600,2300,,,,,,,1,,,,1,1,2,1
reviewjournal.com,y,,0.1918,8000,2200,,,,,,,1,,,1,1,1,3,1
smh.com.au,y,Not u.s. ,-0.1802,2700,2200,,0,,,,,,1,,,1,1,1,1
abc7.com,y,,0.0957,3100,2200,-0.31,,,,,,1,,,1,1,1,3,1
upi.com,y,,0.0385,3200,2200,,0,,,,,,1,,,1,1,1,1
someecards.com,n,,-0.1755,3800,2200,,,,,,,1,,,,0,1,1,1
cleveland.com,y,,-0.047,2900,2200,-0.4428,,,,,,,,,1,1,1,2,1
sltrib.com,y,,0.1265,5700,2200,,-0.1666666667,,,,,1,,,1,1,1,3,1
thewrap.com,y,,-0.1989,2800,2100,,,,,,,1,,,,1,1,2,1
lohud.com,y,,-0.1004,10800,2100,,,,,,,,,,1,1,1,2,1
cincinnati.com,y,,0.1238,5500,2100,,0,,,,,,,,1,1,1,2,1
blog.twitter.com,n,,-0.157,3400,2100,,,,,,,1,,,,1,1,2,1
mnn.com,y,,-0.1989,3300,2100,,,,,,,,1,,,1,1,1,1
freep.com,y,,-0.1156,2700,2100,-0.4596,0.1666666667,,,,,,,,1,1,1,2,1
theadvocate.com,y,,0.159,12100,2000,,,,,,,1,,,1,1,1,3,1
thestreet.com,y,,0.1554,8000,2000,,,,,,,1,,,,0,0,1,1
ibtimes.co.uk,y,Not u.s.,-0.119,2300,2000,,,,,,,,1,,,1,1,1,1
palmbeachpost.com,y,,0.0766,5600,2000,,,,,,,,,,1,1,1,2,1
thetimes.co.uk,y,Not u.s. ,-0.1205,2600,2000,,,,,,,1,,,,1,1,2,1
digitaltrends.com,y,,0.0057,5000,1900,,,,,,,,1,,,1,1,1,1
stltoday.com,y,,-0.0203,2600,1900,-0.309,,,,,,,,,1,1,1,2,1
abc7chicago.com,y,,0.087,2300,1900,-0.503,,,,,,1,,,1,1,1,3,1
elitedai.ly,y,,-0.0001,5600,1900,,,,,,,,,,,1,1,1,1
wjla.com,y,,-0.1817,3200,1900,-0.3195,0,,,,,1,,,1,1,1,3,1
northjersey.com,y,,-0.0732,6100,1900,,,,,,,,,,1,1,1,2,1
jsonline.com,y,,-0.0542,2300,1800,-0.4045,,,,,,1,,,1,0,1,2,1
app.com,y,,0.0875,7300,1800,,,,,,,,,,1,1,1,2,1
nbcphiladelphia.com,y,,-0.1082,3300,1800,-0.3285,,,,,,1,,,1,1,1,3,1
geekwire.com,y,,-0.0843,2700,1800,,,,,,,,1,,,1,1,1,1
bravotv.com,n,,-0.007,2900,1800,,,,,,,1,,,,0,1,1,1
timesunion.com,y,,-0.1695,5400,1800,,,,,,,,,,1,1,1,2,1
pennlive.com,y,,0.1539,7000,1700,,,,,,,1,,,1,1,1,3,1
usmagazine.com,y,,-0.039,2400,1700,,0,,,,,1,,,,0,1,1,1
boston.cbslocal.com,y,,-0.0253,2800,1700,,,,,,,1,,,,1,1,2,1
mindbodygreen.com,y,,-0.0616,5600,1700,,,,,,,1,,,,0,1,1,1
altpress.com,y,,-0.014,3900,1700,,,,,,,1,,,,1,1,2,1
wcvb.com,y,,-0.1752,2800,1700,-0.185,,,,,,1,,,1,1,1,3,1
newyork.cbslocal.com,y,,0.0557,2600,1700,-0.2017,0,,,,,,1,,,1,1,1,1
syracuse.com,y,,0.0103,4400,1700,,,,,,,,,,1,1,1,2,1
theregister.co.uk,y,Not u.s. ,0.0559,3000,1600,,,,,,,,1,,,1,1,1,1
techrepublic.com,y,,0.0603,5600,1600,,,,,,,1,,,,1,0,2,1
al.com,y,,0.0245,1900,1600,0.009,0,,,,,,,,1,1,1,2,1
on.rocne.ws,n,,0.0455,9200,1600,,,,,,,,,,,1,1,1,1
livescience.com,y,,-0.1171,3000,1600,,,,,,,1,,,,0,0,1,1
abc13.com,y,,0.0947,1900,1600,0.0097,-0.08333333333,,,,,,,,1,1,1,2,1
france24.com,y,Not u.s. ,-0.1466,3400,1600,,,,,,,,1,,,1,1,1,1
sacbee.com,y,,-0.1316,2000,1600,,,,-0.5,-0.5,,1,,,1,1,1,3,1
latimesblogs.latimes.com,y,,-0.1722,1900,1500,,,,,,,,,,,1,1,1,1
patheos.com,y,,0.1548,4700,1500,-0.2624,,,,,,1,,,,0,1,1,1
tallahassee.com,y,,0.179,8900,1500,,,,-1,0,,,,,1,1,1,2,1
wimp.com,n,,0.0549,2200,1500,,,,,,,,0,,,1,1,1,1
sciencealert.com,y,,-0.1796,2800,1500,,,,,,,,1,,,1,0,1,1
screen.yahoo.com,y,,0.046,1900,1500,,,,-0.5,-0.5,,,,,,1,1,1,1
lasvegassun.com,y,,0.0727,4100,1500,,,,-0.5,0,,1,,,1,1,1,3,1
breakingnews.com,n,Link doesn't load ,0.0897,2700,1400,,,,,,,1,,,,1,1,2,1
adn.com,y,,-0.1124,4400,1400,,,,,,,1,,,1,1,1,3,1
blogs.kqed.org,y,,-0.1652,3200,1400,,,,,,,,,,,1,1,1,1
kgw.com,y,,-0.1708,5800,1400,-0.2359,,,,,,,,,1,1,1,2,1
bgr.com,y,,0.0869,2400,1400,,0,,,,,,1,,,1,1,1,1
twitition.com,n,Link doesn't load,0.072,2300,1400,,,,,,,,,0,,1,1,1,1
womenshealthmag.com,y,,0.0844,2500,1400,,,,,,,1,,,,1,1,2,1
politicalticker.blogs.cnn.com,y,,0.0234,1800,1300,,,,,,,,,,,1,1,1,1
heavy.com,y,,-0.0231,1700,1300,,0,,,,,,1,,,1,1,1,1
nasa.tumblr.com,n,,-0.0812,1900,1300,,,,,,,1,,,,0,1,1,1
mlive.com,y,,-0.036,1700,1300,,,,,,,,,,1,1,1,2,1
abc11.com,y,,0.1256,2600,1300,-0.19,,,,,,,,,1,1,1,2,1
cntraveler.com,y,,-0.0855,2700,1300,,,,,,,,1,,,1,1,1,1
king5.com,y,,-0.0595,1800,1300,,,,,,,1,,,1,1,1,3,1
phy.so,y,,-0.1865,4400,1300,,,,,,,,0,,,1,1,1,1
trendsmap.com,y,,-0.0021,1700,1300,,,,,,,,0,,,1,1,1,1
globalnews.ca,y,Not u.s. ,-0.0515,1500,1300,,,,,,,,1,,,1,1,1,1
wsbtv.com,y,,0.063,1700,1300,-0.0872,,,,,,,,,1,1,1,2,1
twentytwowords.com,y,,-0.0186,1500,1300,,,,,,,1,,,,1,1,2,1
news.com.au,y,Not u.s. ,0.0545,1400,1300,,-0.4166666667,,,,,,1,,,1,0,1,1
uncrate.com,y,,0.0575,2600,1300,,,,,,,,0,,,1,1,1,1
news.msn.com,y,,0.1119,3900,1300,-0.0623,,,,,,,,,,1,1,1,1
graphics.wsj.com,y,,-0.1933,1700,1200,,,,,,,1,,,,0,1,1,1
mcall.com,y,,0.1789,4300,1200,,,,,,,1,,,1,1,1,3,1
wsvn.com,y,,0.0577,2800,1200,,,,,,,,,,1,0,1,1,1
myspace.com,n,,-0.0941,2300,1200,,,,,,,,,,1,0,0,1,1
wtop.com,y,,-0.0792,2300,1200,,0,,,,,1,,,,1,1,2,1
history.com,n,,0.1625,1600,1200,,0,,,,,1,,,,0,1,1,1
bloombergview.com,y,,-0.0248,1800,1200,,,,,,,,0,,,1,1,1,1
dispatch.com,y,,-0.1494,1400,1200,,,,,,,,,,1,1,1,2,1
rollcall.com,y,,-0.1641,1800,1200,,-0.1666666667,,,,,1,,,,0,1,1,1
rgj.com,y,,0.1664,4500,1200,,,,,,,,,,1,0,1,1,1
on.wgrz.com,n,,0.1647,3400,1100,,,,,,,,,,,1,1,1,1
dribbble.com,n,,-0.1411,7100,1100,,0,,,,,,0,,,1,1,1,1
philadelphia.cbslocal.com,y,,0.1195,2100,1100,,,,,,,1,,,,1,1,2,1
scmp.com,y,Not u.s. ,-0.1861,2200,1100,,,,,,,,1,,,1,1,1,1
techdirt.com,y,,-0.1785,2500,1100,,,,,,,,1,,,1,0,1,1
collective-evolution.com,y,This is center?,0.0065,1700,1100,-0.3014,,,,,,1,,,,1,1,2,1
coloradoan.com,y,,0.0497,4400,1100,,,,,,,,,,1,1,1,2,1
standard.co.uk,y,Not u.s. ,-0.1348,1300,1100,,,,,,,1,,,,0,1,1,1
democratandchronicle.com,y,,0.0169,4300,1100,,-0.08333333333,,,,,1,,,1,1,1,3,1
distractify.com,y,,-0.1671,1300,1100,,-0.1666666667,,,,,,0,,,1,1,1,1
aplus.com,y,,-0.1247,1700,1100,,,,,,,,1,,,1,1,1,1
abc7news.com,y,,0.0002,1500,1100,,,,,,,1,,,1,1,1,3,1
fox5dc.com,y,,0.1478,2100,1100,,,,,,,,,,1,1,1,2,1
perezhilton.com,y,,-0.1498,1500,1100,,-0.08333333333,,,,,1,,,,0,1,1,1
local10.com,y,,0.0798,2200,1100,-0.3545,,,,,,,,,1,1,1,2,1
digitaljournal.com,y,,0.0034,2400,1100,,,,,,,1,,,,1,1,2,1
holykaw.alltop.com,y,,0.0363,1700,1000,,,,,,,1,,,,0,1,1,1
blogs.forbes.com,y,,-0.0195,1600,1000,,,,,,,,,,,1,1,1,1
thedenverchannel.com,y,,-0.0128,2500,1000,-0.012,,,,,,1,,,1,1,1,3,1
futurism.com,y,,-0.1055,2700,1000,,,,,,,,1,,,1,1,1,1
teamcoco.com,n,,-0.143,1200,1000,,,,,,,1,,,,0,1,1,1
accesshollywood.com,y,,0.0582,1300,1000,,,,,,,1,,,,0,1,1,1
abqjournal.com,y,,-0.1089,3600,1000,,,,,,,,,,1,1,1,2,1
chicago.suntimes.com,y,,-0.1655,1200,1000,,-0.4166666667,,-0.5,-0.5,,1,,,,1,1,2,1
statesmanjournal.com,y,,-0.0928,4300,1000,,,,,,,1,,,1,1,1,3,1
blog.sfgate.com,y,,-0.1551,1200,1000,,,,,,,1,,,,1,1,2,1
google.org,n,,-0.0944,1100,1000,,,,,,,,0,,,1,1,1,1
consumerist.com,y,,-0.1524,2000,1000,,,,,,,,0,,,1,1,1,1
statesman.com,y,,-0.0242,1300,1000,,,,,,,,,,1,1,1,2,1
host.madison.com,y,,-0.1919,1300,1000,-0.7585,,,,,,1,,,,1,1,2,1
health.usnews.com,y,,0.1065,2000,1000,,,,,,,,1,,,1,1,1,1
screengrabber.deadspin.com,y,,0.0727,1100,1000,,,,,,,,1,,,1,1,1,1
blog.timesunion.com,y,,-0.1666,3300,1000,,,,,,,,1,,,1,1,1,1
wtae.com,y,,0.1028,1800,1000,,,,,,,1,,,1,1,1,3,1
on.wusa9.com,y,,-0.1811,1700,1000,,,,,,,,,,,1,1,1,1
nzherald.co.nz,n,foreign,-0.116,1200,1000,,,,,,,,1,,,1,1,1,1
nbcmiami.com,y,,0.0363,2300,1000,,,,,,,1,,,1,1,1,3,1
religionnews.com,y,,-0.1103,2500,900,,,,,,,,1,,,1,1,1,1
wdrb.com,y,,0.1767,4600,900,,0,,,,,1,,,,1,1,2,1
usnews.nbcnews.com,y,,-0.0498,1200,900,,,,,,,,,,,1,1,1,1
mycentraljersey.com,y,,0.0879,5400,900,,,,,,,,,,1,1,1,2,1
